horizon,model,accuracy,roc_auc,f1,precision,recall,acc_crisis,acc_bull,acc_covid,n_train,n_test,baseline_acc
1,Logistic Reg,85.5,0.706,91.9,85.0,100.0,76.7,89.2,92.0,4661,516,82.6
1,Random Forest,86.6,0.736,92.5,86.2,99.8,80.1,89.2,92.0,4661,516,82.6
1,Gradient Boost,87.0,0.757,92.7,86.9,99.3,81.8,89.2,91.0,4661,516,82.6
1,SVM,86.4,0.693,92.4,86.0,99.8,79.5,89.2,92.0,4661,516,82.6
1,KNN,85.5,0.693,91.9,85.3,99.5,76.7,89.2,92.0,4661,516,82.6
1,AdaBoost,86.0,0.678,92.2,85.7,99.8,78.4,89.2,92.0,4661,516,82.6
1,Extra Trees,82.6,0.705,90.4,82.6,100.0,68.2,89.2,92.0,4661,516,82.6
1,Naive Bayes,82.9,0.771,90.1,86.3,94.4,71.0,89.2,89.0,4661,516,82.6
3,Logistic Reg,87.0,0.733,92.9,86.9,99.8,75.0,91.7,97.0,4661,516,84.9
3,Random Forest,89.0,0.719,93.9,88.5,100.0,80.7,91.7,97.0,4661,516,84.9
3,Gradient Boost,89.3,0.767,94.0,89.5,99.1,82.4,91.7,96.0,4661,516,84.9
3,SVM,89.0,0.679,93.9,88.6,99.8,80.7,91.7,97.0,4661,516,84.9
3,KNN,88.2,0.728,93.5,87.8,100.0,78.4,91.7,97.0,4661,516,84.9
3,AdaBoost,88.8,0.705,93.8,88.3,100.0,80.1,91.7,97.0,4661,516,84.9
3,Extra Trees,84.9,0.73,91.8,84.9,100.0,68.8,91.7,97.0,4661,516,84.9
3,Naive Bayes,85.5,0.798,91.7,88.9,94.7,71.0,91.7,96.0,4661,516,84.9
6,Logistic Reg,90.1,0.784,94.6,89.9,99.8,79.5,94.2,99.0,4661,516,86.8
6,Random Forest,90.5,0.703,94.8,90.1,100.0,80.7,94.2,99.0,4661,516,86.8
6,Gradient Boost,90.9,0.738,95.0,90.5,100.0,81.8,94.2,99.0,4661,516,86.8
6,SVM,90.5,0.714,94.8,90.1,100.0,80.7,94.2,99.0,4661,516,86.8
6,KNN,89.7,0.71,94.4,89.4,100.0,78.4,94.2,99.0,4661,516,86.8
6,AdaBoost,88.0,0.733,93.5,87.8,100.0,73.3,94.2,99.0,4661,516,86.8
6,Extra Trees,87.6,0.748,93.3,87.5,100.0,72.2,94.2,99.0,4661,516,86.8
6,Naive Bayes,89.3,0.813,94.1,90.9,97.5,77.8,94.2,98.0,4661,516,86.8
12,Logistic Reg,91.9,0.653,95.7,91.9,99.8,84.7,96.2,94.0,4661,516,90.3
12,Random Forest,91.7,0.486,95.6,91.7,99.8,84.1,96.2,94.0,4661,516,90.3
12,Gradient Boost,92.1,0.584,95.8,92.4,99.4,85.2,96.2,94.0,4661,516,90.3
12,SVM,90.1,0.73,94.8,90.6,99.4,79.5,96.2,94.0,4661,516,90.3
12,KNN,91.7,0.677,95.6,91.9,99.6,84.1,96.2,94.0,4661,516,90.3
12,AdaBoost,90.3,0.611,94.9,90.3,100.0,80.1,96.2,94.0,4661,516,90.3
12,Extra Trees,90.7,0.614,95.1,90.7,100.0,81.2,96.2,94.0,4661,516,90.3
12,Naive Bayes,90.9,0.733,95.1,92.8,97.4,81.8,96.2,94.0,4661,516,90.3
