horizon,model,R²,MAE,RMSE,Dir.Acc%,Dir.Acc_Crisis%,Dir.Acc_Bull%,Dir.Acc_Covid%,n_train_rows,n_test_rows
1,Ridge,0.089,0.49,0.67,84.9,75.0,89.2,92.0,4661,516
1,RandForest,0.158,0.46,0.64,86.8,80.7,89.2,92.0,4661,516
1,GradBoost,0.11,0.48,0.66,86.8,81.2,89.2,91.0,4661,516
3,Ridge,0.101,1.45,1.98,86.8,74.4,91.7,97.0,4661,516
3,RandForest,0.149,1.37,1.93,89.1,81.2,91.7,97.0,4661,516
3,GradBoost,0.095,1.44,1.99,89.1,81.2,91.7,97.0,4661,516
6,Ridge,0.122,2.83,3.82,88.6,75.0,94.2,99.0,4661,516
6,RandForest,0.137,2.71,3.79,91.1,82.4,94.2,99.0,4661,516
6,GradBoost,0.016,2.95,4.04,90.3,80.1,94.2,99.0,4661,516
12,Ridge,0.134,5.41,6.99,91.5,83.5,96.2,94.0,4661,516
12,RandForest,0.132,5.16,7.0,91.3,83.0,96.2,94.0,4661,516
12,GradBoost,-0.126,5.9,7.97,90.7,81.2,96.2,94.0,4661,516
