technique,horizon,accuracy,balanced_acc,roc_auc,down_recall,down_precision,down_f1,up_recall
Baseline GBM (no fix),1,87.0,64.1,0.757,28.9,89.7,43.7,99.3
LR class_weight=balanced,1,83.9,66.2,0.71,38.9,55.6,45.8,93.4
RF class_weight=balanced,1,85.5,68.4,0.708,42.2,62.3,50.3,94.6
GBM class_weight (sample_w),1,86.0,68.3,0.744,41.1,66.1,50.7,95.5
SMOTE + GBM,1,79.3,66.4,0.66,46.7,41.6,44.0,86.2
ADASYN + GBM,1,72.3,63.5,0.69,50.0,31.5,38.6,77.0
Undersample + GBM,1,79.5,67.8,0.76,50.0,42.5,45.9,85.7
SMOTETomek + GBM,1,77.5,66.2,0.644,48.9,38.6,43.1,83.6
Threshold tuning (t=0.84),1,14.0,30.8,0.757,56.7,11.2,18.7,4.9
BalancedRandomForest,1,78.9,65.3,0.716,44.4,40.4,42.3,86.2
EasyEnsemble,1,83.7,68.7,0.74,45.6,53.9,49.4,91.8
Baseline GBM (no fix),3,89.3,66.9,0.767,34.6,87.1,49.5,99.1
LR class_weight=balanced,3,86.6,68.9,0.73,43.6,57.6,49.6,94.3
RF class_weight=balanced,3,87.6,69.5,0.733,43.6,63.0,51.5,95.4
GBM class_weight (sample_w),3,87.8,68.6,0.754,41.0,65.3,50.4,96.1
SMOTE + GBM,3,77.9,67.5,0.712,52.6,34.7,41.8,82.4
ADASYN + GBM,3,76.0,66.9,0.702,53.8,32.3,40.4,79.9
Undersample + GBM,3,84.9,67.4,0.75,42.3,50.0,45.8,92.5
SMOTETomek + GBM,3,79.7,67.5,0.72,50.0,37.1,42.6,84.9
Threshold tuning (t=0.54),3,10.5,32.0,0.767,62.8,10.2,17.5,1.1
BalancedRandomForest,3,82.6,67.6,0.734,46.2,42.9,44.4,89.0
EasyEnsemble,3,85.1,70.1,0.766,48.7,50.7,49.7,91.6
Baseline GBM (no fix),6,90.9,65.4,0.738,30.9,100.0,47.2,100.0
LR class_weight=balanced,6,90.3,73.2,0.773,50.0,68.0,57.6,96.4
RF class_weight=balanced,6,90.3,72.6,0.714,48.5,68.8,56.9,96.7
GBM class_weight (sample_w),6,91.5,72.0,0.729,45.6,81.6,58.5,98.4
SMOTE + GBM,6,83.5,69.3,0.717,50.0,40.0,44.4,88.6
ADASYN + GBM,6,86.4,69.1,0.712,45.6,48.4,47.0,92.6
Undersample + GBM,6,89.0,73.7,0.737,52.9,59.0,55.8,94.4
SMOTETomek + GBM,6,82.2,67.9,0.718,48.5,36.7,41.8,87.3
Threshold tuning (t=0.85),6,8.1,26.5,0.738,51.5,7.4,12.9,1.6
BalancedRandomForest,6,86.6,71.7,0.737,51.5,49.3,50.4,92.0
EasyEnsemble,6,87.8,73.0,0.752,52.9,53.7,53.3,93.1
Baseline GBM (no fix),12,92.1,61.7,0.584,24.0,80.0,36.9,99.4
LR class_weight=balanced,12,89.9,66.7,0.674,38.0,47.5,42.2,95.5
RF class_weight=balanced,12,89.7,62.2,0.645,28.0,45.2,34.6,96.4
GBM class_weight (sample_w),12,91.1,65.6,0.696,34.0,56.7,42.5,97.2
SMOTE + GBM,12,88.8,66.1,0.678,38.0,41.3,39.6,94.2
ADASYN + GBM,12,87.4,66.2,0.71,40.0,36.4,38.1,92.5
Undersample + GBM,12,88.4,64.1,0.612,34.0,38.6,36.2,94.2
SMOTETomek + GBM,12,88.8,66.1,0.662,38.0,41.3,39.6,94.2
Threshold tuning (t=0.87),12,8.3,33.2,0.584,64.0,6.6,11.9,2.4
BalancedRandomForest,12,87.4,65.4,0.626,38.0,35.8,36.9,92.7
EasyEnsemble,12,88.0,66.6,0.618,40.0,38.5,39.2,93.1
