city,restaurant_signal,housing_target,lag_months,correlation,p_value,significant,n
Indianapolis,review_volume,zhvi_3m_fwd,0,0.596,0.0,True,197
Indianapolis,review_volume,zhvi_3m_fwd,1,0.602,0.0,True,196
Indianapolis,review_volume,zhvi_3m_fwd,2,0.598,0.0,True,195
Indianapolis,review_volume,zhvi_3m_fwd,3,0.599,0.0,True,194
Indianapolis,review_volume,zhvi_3m_fwd,6,0.621,0.0,True,191
Indianapolis,review_volume,zhvi_3m_fwd,9,0.642,0.0,True,188
Indianapolis,review_volume,zhvi_3m_fwd,12,0.685,0.0,True,185
Indianapolis,review_volume,zhvi_6m_fwd,0,0.608,0.0,True,197
Indianapolis,review_volume,zhvi_6m_fwd,1,0.616,0.0,True,196
Indianapolis,review_volume,zhvi_6m_fwd,2,0.62,0.0,True,195
Indianapolis,review_volume,zhvi_6m_fwd,3,0.628,0.0,True,194
Indianapolis,review_volume,zhvi_6m_fwd,6,0.654,0.0,True,191
Indianapolis,review_volume,zhvi_6m_fwd,9,0.683,0.0,True,188
Indianapolis,review_volume,zhvi_6m_fwd,12,0.729,0.0,True,185
Indianapolis,review_volume,zhvi_12m_fwd,0,0.674,0.0,True,197
Indianapolis,review_volume,zhvi_12m_fwd,1,0.681,0.0,True,196
Indianapolis,review_volume,zhvi_12m_fwd,2,0.687,0.0,True,195
Indianapolis,review_volume,zhvi_12m_fwd,3,0.695,0.0,True,194
Indianapolis,review_volume,zhvi_12m_fwd,6,0.729,0.0,True,191
Indianapolis,review_volume,zhvi_12m_fwd,9,0.765,0.0,True,188
Indianapolis,review_volume,zhvi_12m_fwd,12,0.797,0.0,True,185
Indianapolis,review_yoy_growth,zhvi_3m_fwd,0,-0.378,0.0,True,185
Indianapolis,review_yoy_growth,zhvi_3m_fwd,1,-0.395,0.0,True,184
Indianapolis,review_yoy_growth,zhvi_3m_fwd,2,-0.401,0.0,True,183
Indianapolis,review_yoy_growth,zhvi_3m_fwd,3,-0.394,0.0,True,182
Indianapolis,review_yoy_growth,zhvi_3m_fwd,6,-0.331,0.0,True,179
Indianapolis,review_yoy_growth,zhvi_3m_fwd,9,-0.35,0.0,True,176
Indianapolis,review_yoy_growth,zhvi_3m_fwd,12,-0.319,0.0,True,173
Indianapolis,review_yoy_growth,zhvi_6m_fwd,0,-0.399,0.0,True,185
Indianapolis,review_yoy_growth,zhvi_6m_fwd,1,-0.395,0.0,True,184
Indianapolis,review_yoy_growth,zhvi_6m_fwd,2,-0.388,0.0,True,183
Indianapolis,review_yoy_growth,zhvi_6m_fwd,3,-0.375,0.0,True,182
Indianapolis,review_yoy_growth,zhvi_6m_fwd,6,-0.348,0.0,True,179
Indianapolis,review_yoy_growth,zhvi_6m_fwd,9,-0.348,0.0,True,176
Indianapolis,review_yoy_growth,zhvi_6m_fwd,12,-0.35,0.0,True,173
Indianapolis,review_yoy_growth,zhvi_12m_fwd,0,-0.397,0.0,True,185
Indianapolis,review_yoy_growth,zhvi_12m_fwd,1,-0.394,0.0,True,184
Indianapolis,review_yoy_growth,zhvi_12m_fwd,2,-0.389,0.0,True,183
Indianapolis,review_yoy_growth,zhvi_12m_fwd,3,-0.383,0.0,True,182
Indianapolis,review_yoy_growth,zhvi_12m_fwd,6,-0.376,0.0,True,179
Indianapolis,review_yoy_growth,zhvi_12m_fwd,9,-0.393,0.0,True,176
Indianapolis,review_yoy_growth,zhvi_12m_fwd,12,-0.424,0.0,True,173
Indianapolis,checkin_volume,zhvi_3m_fwd,0,0.229,0.0012,True,197
Indianapolis,checkin_volume,zhvi_3m_fwd,1,0.243,0.0006,True,196
Indianapolis,checkin_volume,zhvi_3m_fwd,2,0.249,0.0005,True,195
Indianapolis,checkin_volume,zhvi_3m_fwd,3,0.258,0.0003,True,194
Indianapolis,checkin_volume,zhvi_3m_fwd,6,0.304,0.0,True,191
