city,horizon,R²,MAE,RMSE,Dir.Acc%,Corr,n
Indianapolis,1-month,0.849,0.3,0.38,100.0,0.951,21
Indianapolis,6-month,-9.65547272726742e+31,3586277821421700.0,7500674976163683.0,47.6,-0.164,21
Nashville,1-month,0.951,0.48,0.6,100.0,0.987,25
Nashville,6-month,-1.637375187283179e+60,1.8015059107357012e+30,3.6844008232616284e+30,40.0,0.063,25
New Orleans,1-month,0.77,0.78,0.97,95.8,0.88,24
New Orleans,6-month,-5.4127183619144275e+45,9.523832488875821e+22,1.6810137730890445e+23,45.8,0.23,24
Philadelphia,1-month,0.49,0.2,0.26,100.0,0.822,22
Philadelphia,6-month,-2.393076668637924e+50,4.6445321974803337e+24,9.333923011320648e+24,22.7,-0.069,22
Tampa,1-month,0.938,0.35,0.41,100.0,0.979,23
Tampa,6-month,-7.077647711207863e+48,2.2261912506973772e+24,5.067849586943404e+24,52.2,0.103,23
